[報牌] 法鬥蛇燦年發539 二三合,2,Wed Jan 15 15:30:46 2025
[報牌] 虎斑法鬥 39 二合,0,Thu Jan 16 11:29:48 2025
[報牌] 蛇燦法鬥539 二三合,2,Thu Jan 16 15:05:12 2025
[報牌] 蛇燦年發539,11,Thu Jan 16 18:40:54 2025
Re: [閒聊] 刮刮樂機率分析彙整,4,Thu Jan 16 22:36:11 2025
[真相] 鈔票一把抓,8,Fri Jan 17 12:26:06 2025
Re: [討論] 2025發財預算,2,Fri Jan 17 13:51:50 2025
[報牌] 蛇燦年發539,9,Fri Jan 17 16:01:00 2025
[報牌] 老朋友539、34星,2,Fri Jan 17 19:12:02 2025
[真相] 2000整本 惡魔之本,31,Sat Jan 18 07:46:12 2025
[報牌] 蛇燦年發539,11,Sat Jan 18 15:53:17 2025
[真相] 539,4,Sun Jan 19 01:03:06 2025
[討論] 賓果一星押很大有沒有搞頭,11,Mon Jan 20 02:45:42 2025
[報牌] 過年539,1,Mon Jan 20 11:42:39 2025
[報牌] 蛇燦年發539,16,Mon Jan 20 16:29:41 2025
[報牌] 虎斑法鬥 39 二合,0,Mon Jan 20 16:47:03 2025
Re: [討論]歷年2000元刮刮樂發行量,2,Mon Jan 20 20:46:13 2025
[閒聊] 刮刮樂買整本好還是分散買？,9,Tue Jan 21 10:35:47 2025
[報牌] 虎斑法鬥 39 二合,1,Tue Jan 21 12:23:40 2025
[報牌] 蛇燦年發539,11,Tue Jan 21 17:45:18 2025
